"Department","Category","Subcategory"
"Maintenance Dept.","Electrical","Boxes"
"Maintenance Dept.","Electrical","Bells"
"Maintenance Dept.","Electrical","Hallogens"
"Maintenance Dept.","Electrical","MCB'S"
"Maintenance Dept.","Electrical","Bolts,Pins & Sockets"
"Maintenance Dept.","Electrical","Pipes"
"Maintenance Dept.","Electrical","Screws"
"Maintenance Dept.","Electrical","Lights"
"Maintenance Dept.","Electrical","Transformer"
"Maintenance Dept.","Electrical","Tubelight"
"Maintenance Dept.","Electrical","Switches & Holders"
"Maintenance Dept.","Electrical","Battams"
"Maintenance Dept.","Electrical","Bulbs"
"Maintenance Dept.","Electrical","Capacitors"
"Maintenance Dept.","Electrical","Cassings"
"Maintenance Dept.","Electrical","Fans"
"Maintenance Dept.","Electrical","Clamps"
"Maintenance Dept.","Electrical","General"
"Maintenance Dept.","Plumbing","Basin & Accessories"
"Maintenance Dept.","Plumbing","Bib Cocks"
"Maintenance Dept.","Plumbing","Cistern"
"Maintenance Dept.","Plumbing","Washers"
"Maintenance Dept.","Plumbing","Commod"
"Maintenance Dept.","Plumbing","CP'S"
"Maintenance Dept.","Plumbing","Elbows"
"Maintenance Dept.","Plumbing","Pipes"
"Maintenance Dept.","Plumbing","Valves"
"Maintenance Dept.","Plumbing","Short Piece"
"Maintenance Dept.","Plumbing","Jute"
"Maintenance Dept.","Plumbing","Cocks"
"Maintenance Dept.","Plumbing","Sockets"
"Maintenance Dept.","Plumbing","Spandle"
"Maintenance Dept.","Plumbing","T's"
"Maintenance Dept.","Plumbing","General"
"Maintenance Dept.","Plumbing","Urinal"
"Maintenance Dept.","House Keeping","Fragrances"
"Maintenance Dept.","Plumbing","Dustbins"
"Maintenance Dept.","Plumbing","Towels"
"Maintenance Dept.","Plumbing","Umbrellas"
"Maintenance Dept.","House Keeping","Cleaning"
"Maintenance Dept.","Plumbing","Bedsheets"
"Store Dept.","Gift","Anniversary"
"Store Dept.","Office Stationery","Examinations"
"Store Dept.","Badges","Interact Club"
"Store Dept.","Dress & Cloth","Clothes"
"Store Dept.","Dress & Cloth","Blankets"
"Store Dept.","Dress & Cloth","Shoes"
"Store Dept.","Dress & Cloth","Satranchi"
"Store Dept.","Dress & Cloth","Tie"
"Store Dept.","Dress & Cloth","Sarees"
"Store Dept.","Dress & Cloth","T Shirts"
"Store Dept.","Dress & Cloth","Aprons"
"Store Dept.","Dress & Cloth","Bed Sheets"
"Store Dept.","Dress & Cloth","Caps"
"Store Dept.","Dress & Cloth","Jackets"
"Maintenance Dept.","Electrical","Tapes"
"Maintenance Dept.","House Keeping","Bedsheets"
"Maintenance Dept.","Electrical","Lamp"
"Maintenance Dept.","Electrical","4 Model Boxes"
"Maintenance Dept.","Electrical","4 Model Plate"
"Maintenance Dept.","Plumbing","Screw"
"Maintenance Dept.","Plumbing","C.I Pipe OIffset"
